rank,symbol,sector,grade,score,last_close,rsi,distance_from_high_pct,volume_ratio,ema_aligned,trend_pct
1,BHARATFORG,Automobile and Auto Components,A+,88.1,1907.800048828125,63.0,0.89,1.39,Y,0.24
2,APARINDS,Capital Goods,A,83.7,12387.5,68.1,-0.49,1.25,Y,5.08
3,ABCAPITAL,Financial Services,A,82.0,348.45001220703125,58.3,1.67,1.54,Y,-0.64
4,BHARTIARTL,Telecommunication,A,76.3,1888.0999755859375,58.2,0.3,0.75,N,3.23
5,ABFRL,Consumer Services,B,74.9,65.05000305175781,57.7,2.33,1.49,N,0.09
6,BLUEJET,Healthcare,B,73.4,445.8500061035156,66.7,1.36,0.67,Y,6.96
7,ADANIENT,Metals & Mining,B,73.0,2425.89990234375,77.1,-0.24,1.83,Y,7.3
8,AADHARHFC,Financial Services,B,72.0,488.75,55.5,3.54,1.82,Y,-0.15
9,ASTERDM,Healthcare,B,71.9,699.5,58.2,3.45,1.38,Y,2.22
10,BIKAJI,Fast Moving Consumer Goods,B,71.6,690.8499755859375,63.3,2.53,0.94,Y,0.87
11,DMART,Consumer Services,B,70.0,4593.39990234375,65.0,1.09,0.33,Y,-0.03
12,APOLLOHOSP,Healthcare,B,68.1,7709.0,55.2,2.15,0.77,Y,0.61
13,3MINDIA,Diversified,B,67.6,33175.0,56.8,2.12,1.03,N,1.92
14,AWL,Fast Moving Consumer Goods,B,65.3,200.17999267578125,61.1,4.54,2.18,N,0.29
15,AMBER,Consumer Durables,C,64.9,8082.0,65.2,1.93,0.44,Y,3.57
16,AUROPHARMA,Healthcare,C,63.1,1396.800048828125,60.2,4.3,1.06,Y,-1.72
17,MAHABANK,Financial Services,C,61.9,79.61000061035156,65.7,3.09,1.1,Y,-0.19
